학원교습소명,학원명,개설일자,등록일자,등록상태명,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정명,도로명우편번호,도로명주소,도로명상세주소,구,lat,lon
교습소,에이케이영재수학교습소,20110520,20110520,개원,42,7,입시.검정 및 보습,보통교과,보습,463738,경기도 성남시 분당구 미금일로 58,/ 208호 (구미동/ 까치마을),분당구,37.347516971,127.113256295
학원,에이펙스학원,20131231,20131231,개원,80,103,입시.검정 및 보습,보통교과,보습,13555,경기도 성남시 분당구 정자일로 240,/ 405호 406호 (정자동/ 월드프라자),분당구,37.371556860,127.106287652
교습소,에이플러스수학교습소,20050104,20050104,개원,9,2,입시.검정 및 보습,보통교과,보습,463743,경기도 성남시 분당구 미금로 184,(구미동/까치마을) 상가동 205호 일부,분당구,37.349736450,127.117425418
교습소,에이플러스잉글리쉬영어교습소,20211027,20211027,개원,72,9,입시.검정 및 보습,보통교과,보습,13555,경기도 성남시 분당구 성남대로 393,/ B113 (정자동/ 두산위브파빌리온),분당구,37.371631124,127.107168080
교습소,에이플수학교습소,20221129,20221129,개원,12,4,입시.검정 및 보습,보통교과,보습,13586,경기도 성남시 분당구 돌마로486번길 7,/ 2-2호 일부 (서현동/ 효자촌),분당구,37.377617418,127.135156811
학원,에포트풀인캠프학원,20170728,20170728,개원,72,63,입시.검정 및 보습,보통교과,보습,13586,경기도 성남시 분당구 돌마로 478,/ 212호 213호 (서현동),분당구,37.376949533,127.133476119
학원,에프아이에스어학원,20220128,20220128,개원,132,161,국제화,외국어,실용외국어(유아/초·중·고),13562,경기도 성남시 분당구 정자일로 80,/ 1층/2층(정자동/청아서원) (정자동/ 상록마을보성아파트),분당구,37.358202496,127.107137914
학원,에프에이케이독서실,20131209,20131209,개원,552,55,독서실,독서실,독서실(유아/초·중·고),13601,경기도 성남시 분당구 불정로 254,/ 2층 전체 (수내동/ 삼평프라자),분당구,37.366395367,127.126822062
학원,에프엑스수학학원,20121126,20140716,개원,20,99,입시.검정 및 보습,보통교과,보습,463825,경기도 성남시 분당구 수내로46번길 33,/ 303호 (수내동/화동빌딩),분당구,37.378708311,127.115174781
학원,에프엠음악학원,20040401,20040401,개원,2,24,예능(대),예능(중),음악,463818,경기도 성남시 분당구 돌마로486번길 6,(서현동/상록프라자) 501호,분당구,37.377096894,127.133930859
학원,에프티케이에듀학원,20110516,20110516,개원,242,254,종합(대),,,463420,경기도 성남시 분당구 동판교로 61,(백현동/백현마을) 자유퍼스트프라자2 6층,분당구,37.388465106,127.115407533
학원,에프티케이잉글리쉬어학원,20100615,20100615,개원,58,153,종합(대),,,13461,경기도 성남시 분당구 운중로 121,/ 3층 (운중동),분당구,37.392012970,127.076660605
학원,에픽아카데미학원,20180116,20180116,개원,640,209,종합(대),,,13555,경기도 성남시 분당구 성남대로 389,/ 703~705호 (정자동/ 폴라리스빌딩2),분당구,37.370846923,127.107483499
교습소,에픽영어교습소,20210430,20210430,개원,35,7,입시.검정 및 보습,보통교과,보습,13599,경기도 성남시 분당구 돌마로 361,/ 213호/214호/215호 (수내동/ 동신코아빌딩),분당구,37.370585061,127.123030356
학원,에픽플러스학원,20131016,20131016,개원,2750,134,입시.검정 및 보습,보통교과,보습,13555,경기도 성남시 분당구 성남대로 389,/ 901호 (정자동/ 폴라리스빌딩2),분당구,37.370846923,127.107483499
학원,엔수학학원,20131219,20131219,개원,25,74,입시.검정 및 보습,보통교과,보습,463829,경기도 성남시 분당구 성남대로779번길 18,/ 3층 일부 (이매동/코너스톤빌딩),분당구,37.399470442,127.126421764
학원,엔젤음악학원,20130128,20130128,개원,280,37,예능(대),예능(중),음악,463961,경기도 성남시 분당구 서판교로 29,/ 주상가 201호/202호/203호일부 (판교동/판교원마을),분당구,37.389816535,127.096994463
교습소,엔젤피아노교습소,19970906,19970906,개원,16,4,예능(대),예능(중),음악,463916,경기도 성남시 분당구 장미로 139,(야탑동/매화마을공무원아파트) 단지내상가  207호,분당구,37.413970054,127.136160128
학원,엔터스카이학원,20210318,20210318,개원,1,72,입시.검정 및 보습,진학지도,진학상담지도,13558,경기도 성남시 분당구 정자일로198번길 15,/ 201호 (정자동/ 제나프라자),분당구,37.367675064,127.107685866
교습소,엘?스파치오두들링미술교습소,20151005,20151005,개원,51,9,예능(대),예능(중),미술,13568,경기도 성남시 분당구 양현로94번길 21,/ 208호 (이매동/ 분당코아),분당구,37.391021630,127.126382155
학원,엘랑음악학원,20220214,20220214,개원,45,33,예능(대),예능(중),음악,13544,경기도 성남시 분당구 판교대장로 92,/ 404호 (대장동),분당구,37.367030511,127.068454046
교습소,엘리뮤직스튜디오(ELIMUSICSTUDIO)성악교습소,20220426,20220426,개원,6,6,예능(대),예능(중),음악,13613,경기도 성남시 분당구 정자일로 55,/ 104동 104호 (금곡동/ 분당두산위브아파트),분당구,37.354400908,127.105047105
학원,엘리트어학원,20010828,20010828,개원,75,166,국제화,외국어,실용외국어(유아/초·중·고),463825,경기도 성남시 분당구 황새울로200번길 28,(수내동/오너스타워) 302호,분당구,37.376797519,127.113386101
교습소,엘린피아노음악교습소,20131016,20131016,개원,45,5,예능(대),예능(중),음악,463420,경기도 성남시 분당구 동판교로 91,/ 1층 105호 (백현동/백현마을),분당구,37.390749483,127.116024046
